U.S. Crude Oil Estimated Production from Reserves Annual
https://www.eia.gov/opendata/qb.php?category=293798&sdid=PET.RCRR10NUS_1.A
20:14:01 GMT-0500 (Central Daylight Time)
Source: U.S. Energy Information Administration
Year,Series ID: PET.RCRR10NUS_1.A Million Barrels
2019,4169
2018,3696
2017,3157
2016,2953
2015,3104
2014,2874
2013,2418
2012,2112
2011,1834
2010,1767
2009,1751
2008,1672
2007,1691
2006,1652
2005,1733
2004,1819
2003,1877
2002,1875
2001,1915
2000,1880
1999,1952
1998,1991
1997,2138
1996,2173
1995,2213
1994,2268
1993,2339
1992,2446
1991,2512
1990,2505
1989,2586
1988,2811
1987,2873
1986,2973
1985,3052
1984,3037
1983,3020
1982,2950
1981,2949
1980,2975
1979,2955
1978,3008
1977,2862
